,Кількість десятин,,,Кількість душ чоловічої статі,,,Землі на душу населення,,,,,,
Повіт,Маєтки дворянські,Маєтки державні,Маєтки разом,Селяни поміщицькі,Селяни державні,Селяни разом,Поміщицьких селян,Державних селян,Загалом,,Повіт,Народилося,Померло
Гадяцький,87347,64293,151640,19501,25078,44579,4.479103636,2.56372119,7.042824826,,Гадяцький,68883,55285
Зіньківський,124410,66589,190999,10108,34006,44414,12.30807281,1.958154443,4.30042329,,Зіньківський,56888,47418
Золотоніський,194631,108759,303390,14749,37666,52415,13.19621669,2.887458185,5.788228561,,Золотоніський,96056,77473
Кобеляцький,342390,83349,425793,30661,19318,50479,11.16695476,4.314577078,8.4350522,,Кобеляцький,74776,53919
Констянтиноградський,334127,72708,406835,28049,32399,60448,11.91226069,2.244143338,6.730330201,,Констянтиноградський,92402,72817
Кременчуцький,157386,85627,243386,17602,30176,47778,8.941370299,2.837586161,5.094101888,,Кременчуцький,75669,57099
Лохвицький,157728,66832,224560,19526,22855,48451,8.077844925,2.924174141,4.63478566,,Лохвицький,59759,47123
Лубенський,155697,50359,206056,13541,23096,36673,11.49819068,2.180420852,5.618738582,,Лубенський,62093,52182
Миргородський,76103,67267,143370,19452,29431,48883,3.912348345,2.285583229,2.932921466,,Миргородський,67509,57715
Переслявський,131002,86759,217761,19794,29179,48973,6.618268162,2.973336989,4.446552182,,Переслявський,84914,72708
Полтавський,177300,67935,245235,23179,29424,52603,7.649165193,2.308829527,4.661996464,,Полтавський,82120,62436
Прилуцький,231812,51423,283235,33205,21414,54619,6.981237765,2.401372934,5.185649682,,Прилуцький,88983,75962
Пирятинський,223706,43757,267463,32196,13842,46038,6.948254442,3.161176131,5.809613797,,Пирятинський,72584,60759
Роменський,78998,69203,148201,21496,36846,58342,3.675009304,1.878168594,2.540211169,,Роменський,90654,69223
Хорольський,221858,51801,273659,25687,21981,47668,8.636975902,2.356626177,5.740937316,,Хорольський,70691,56332
